tempo_s,posicao_x_px,posicao_y_px
29.359306400048258,991,891
29.39263137893594,974,888
29.425956357823623,962,886
29.459281336711307,955,885
29.492606315598987,953,885
29.52593129448667,957,886
29.559256273374352,965,888
29.592581252262036,979,889
29.625906231149717,998,894
29.6592312100374,1022,898
29.69255618892508,1050,902
29.725881167812766,1081,906
29.759206146700446,1116,910
29.79253112558813,1154,914
29.82585610447581,1195,917
29.859181083363495,1237,919
29.892506062251176,1280,919
29.92583104113886,1322,919
29.95915602002654,1364,917
29.992480998914225,1405,915
30.025805977801905,1443,912
30.05913095668959,1478,908
30.092455935577274,1510,904
30.125780914464954,1537,900
30.15910589335264,1560,897
30.19243087224032,1578,894
30.225755851128003,1591,891
30.259080830015684,1598,890
30.292405808903368,1599,890
30.32573078779105,1595,890
30.359055766678733,1585,892
30.392380745566413,1569,895
30.425705724454097,1549,898
30.459030703341778,1523,902
30.492355682229462,1493,906
30.525680661117143,1460,910
30.559005640004827,1423,913
30.592330618892507,1384,916
30.62565559778019,1342,918
30.658980576667876,1300,919
30.692305555555556,1258,918
30.72563053444324,1215,917
30.75895551333092,1174,915
30.792280492218605,1135,912
30.825605471106286,1099,908
30.85893044999397,1066,904
30.89225542888165,1037,899
30.925580407769335,1011,895
30.958905386657015,990,891
30.9922303655447,974,888
31.02555534443238,963,890
31.058880323320064,957,889
31.092205302207745,956,889
31.12553028109543,960,889
31.15885525998311,969,890
31.192180238870794,983,892
31.225505217758474,1003,894
31.25883019664616,1027,899
31.292155175533843,1055,903
31.325480154421523,1088,908
31.358805133309207,1123,912
31.392130112196888,1161,915
31.425455091084572,1201,917
31.458780069972253,1243,919
31.492105048859937,1286,919
31.525430027747618,1328,919
31.5587550066353,1369,917
31.592079985522982,1409,915
31.625404964410667,1447,911
31.658729943298347,1481,908
31.69205492218603,1512,904
31.725379901073712,1538,900
31.758704879961396,1560,897
31.792029858849077,1577,894
31.82535483773676,1590,891
31.85867981662444,1596,890
31.892004795512126,1597,890
31.92532977439981,1591,891
31.95865475328749,1581,893
31.991979732175174,1564,896
32.02530471106286,1543,899
32.058629689950536,1517,903
32.09195466883822,1487,907
32.125279647725904,1453,910
32.15860462661359,1416,914
32.191929605501265,1377,916
32.22525458438895,1336,918
32.25857956327663,1294,919
32.29190454216432,1251,918
32.325229521051995,1210,917
32.35855449993968,1169,915
32.39187947882736,1131,911
32.42520445771505,1096,907
32.458529436602724,1063,903
32.49185441549041,1034,899
32.52517939437809,1009,895
32.55850437326578,989,891
32.59182935215346,974,889
32.62515433104114,963,887
32.65847930992882,958,886
32.691804288816506,958,887
32.72512926770419,963,888
32.75845424659187,973,890
32.79177922547955,988,892
32.825104204367236,1008,896
32.85842918325492,1033,899
32.8917541621426,1061,904
32.92507914103028,1094,907
32.958404119917965,1129,912
32.99172909880565,1167,915
33.025054077693326,1208,917
33.05837905658101,1249,919
33.091704035468695,1292,919
33.12502901435638,1334,919
33.158353993244056,1375,917
33.19167897213174,1414,914
33.225003951019424,1451,911
33.25832892990711,1484,907
33.29165390879479,1514,904
33.32497888768247,1540,900
33.358303866570154,1561,896
33.39162884545784,1578,893
33.42495382434552,1589,892
33.4582788032332,1594,891
33.49160378212088,1594,891
33.52492876100857,1588,892
33.55825373989625,1576,894
33.59157871878393,1559,897
33.62490369767161,1538,900
33.6582286765593,1511,904
33.69155365544698,1481,907
33.72487863433466,1447,911
33.75820361322234,1409,914
33.791528592110026,1370,916
33.82485357099771,1329,918
33.858178549885395,1287,918
33.89150352877307,1245,918
33.924828507660756,1204,917
33.95815348654844,1164,914
33.991478465436124,1126,911
34.0248034443238,1091,907
34.058128423211485,1060,903
34.09145340209917,1032,898
34.124778380986854,1008,895
34.15810335987453,989,891
34.191428338762215,974,890
34.2247533176499,964,889
34.25807829653758,960,888
34.29140327542526,960,888
34.324728254312944,966,889
34.35805323320063,977,891
34.39137821208831,993,894
34.424703190976,1013,898
